-112, -130, 132 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0,  -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
7, -14, -8, 17 
 -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-51, -32, -57, -62 
-67, -32, -94, -62 
-67,5, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 
-108, -105, -143, -141 1, -341, -334 
-296, -301, -341, -334 
-296, -301, -341, -334 
-296, -301, -341, -334 
-296, -301, -341, -334 
-296, -301, -341, -334 
-296, -301, -341, -334 
-364, -301, -410, -334 
