-101, -119, 142 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
122, -140, -136, 179 
122, -140, -136, 179 
122-260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 297 
184, -260, -198, 297 
184, -260, -198, 297 
184, -260, -198, 297 
184, -260, -198, 297 
184, -260, -198, 297 
184-391, -388, 416 
368, -391, -388, 416 
368, -391, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368, -455, -388, 416 
368-617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525, -617, -543, 561 
525-692, -615, 639 
597, -692, -615, 639 
597, -692, -615, 639 
597, -692, -615, 639 
597, -692, -615, 639 
597, -692, -615, 639 
597, -692, -615, 639 
597, -692, -615, 713 
597, -692, -615, 713 
597, -692, -615, 713 
597, -692, -615, 713 
597, -692, -615, 713 
597, -692, -615, 713 
597, -692, -615, 713 
597, -692, -615, 713 
597, -692, -615, 713 
5976, -762, -761, 786 
746, -762, -761, 786 
746, -762, -761, 786 
746, -762, -761, 786 
746, -762, -761, 786 
746, -762, -761, 786 
746, -762, -761, 786 
746, -762, -761, 786 
746, -837, -761, 786 
746, -837, -761, 786 
746, -837, -761, 786 
746, -837, -761, 786 
746, -837, -761, 786 
746, -837, -761, 786 
746, -837, -761, 786 
746, -837, -761, 786 
7, -911, 938 
900, -997, -911, 938 
900, -997, -911, 938 
900, -997, -911, 938 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911, 1027 
900, -997, -911,  -1162, -1076, 1106 
1066, -1162, -1076, 1106 
1066, -1162, -1076, 1106 
1066, -1162, -1076, 1106 
1066, -1162, -1076, 1106 
